TreeHoleID,ShapeType,Length,Area,Region,Remark,TWD97X,TWD97Y,UpdDate,lng,lat
48292,帶狀樹穴,104.5,413.9,,四分綠地,311829.23,2769866.98,2026-03-26 15:31:48,121.61270390678293,25.03565762299395
48293,帶狀樹穴,460.79,2559.04,,四分綠地,311827.44,2769723.0,2026-03-26 15:31:48,121.61267971306827,25.034357870358985
48294,帶狀樹穴,146.77,1103.67,,九如綠地,312162.51,2770027.67,2026-03-26 15:31:48,121.61601367846163,25.037094649329557
48295,帶狀樹穴,822.63,8485.56,,九如綠地,312187.87,2770099.14,2026-03-26 15:31:48,121.6162682016725,25.037738825130006
48296,帶狀樹穴,527.58,4089.71,,新南綠地,311096.64,2771639.85,2026-03-26 15:31:48,121.60552313856209,25.051692533360022
48297,帶狀樹穴,346.13,737.4,,南汐綠地,312544.99,2771970.82,2026-03-26 15:31:48,121.61989197394469,25.054621251579317
48298,帶狀樹穴,747.75,1817.71,,東明綠地,310692.03,2771918.25,2026-03-26 15:31:48,121.60152552779974,25.054222170679363
48299,帶狀樹穴,75.1,185.47,,東明綠地,310858.24,2772003.84,2026-03-26 15:31:48,121.60317656364188,25.05498818074703
48300,帶狀樹穴,165.8,505.3,,東明綠地,310993.59,2772058.59,2026-03-26 15:31:48,121.60452040668041,25.05547699954928
48301,帶狀樹穴,184.94,442.69,,東明綠地,311082.43,2772077.73,2026-03-26 15:31:48,121.60540172885887,25.05564620539676
48302,帶狀樹穴,264.34,3300.92,,東新綠地,310589.37,2771997.46,2026-03-26 15:31:48,121.60051158158936,25.054941381279683
48303,帶狀樹穴,316.59,3374.46,,東新綠地,310508.5,2771915.07,2026-03-26 15:31:48,121.59970648041225,25.054200817656447
48304,帶狀樹穴,400.4,3332.01,,新陽綠地,310274.4,2772021.74,2026-03-26 15:31:48,121.59739105701264,25.055173165405648
48305,帶狀樹穴,313.8,2502.04,,新陽綠地,310428.16,2771968.24,2026-03-26 15:31:48,121.59891258878578,25.05468403972789
48306,帶狀樹穴,236.78,2871.96,,向陽綠地,309809.32,2772254.69,2026-03-26 15:31:48,121.59279187245217,25.057294666529337
